frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
943,  pedestrian,0.629,1130.000,389.500,1113,364,34,51,1280,720
944,  pedestrian,0.723,1133.000,391.000,1116,366,34,50,1280,720
945,  pedestrian,0.545,1136.500,391.000,1120,365,33,52,1280,720
946,  pedestrian,0.503,1138.500,391.500,1120,365,37,53,1280,720
947,  pedestrian,0.588,1141.500,393.500,1124,367,35,53,1280,720
948,  pedestrian,0.686,1146.000,393.500,1127,367,38,53,1280,720
950,  pedestrian,0.677,1153.500,395.000,1134,368,39,54,1280,720
951,  pedestrian,0.685,1155.000,394.500,1135,367,40,55,1280,720
952,  pedestrian,0.637,1159.000,395.500,1140,368,38,55,1280,720
962,  pedestrian,0.604,902.500,404.000,874,366,57,76,1280,720
968,  pedestrian,0.552,927.000,407.000,897,366,60,82,1280,720
976,  car,0.551,949.500,384.000,917,367,65,34,1280,720
983,  car,0.528,971.000,383.500,929,365,84,37,1280,720
984,  pedestrian,0.574,1198.000,412.000,1166,383,64,58,1280,720
986,  car,0.518,987.500,389.500,943,370,89,39,1280,720
987,  car,0.599,992.500,390.500,946,370,93,41,1280,720
988,  car,0.596,995.500,389.500,947,369,97,41,1280,720
989,  car,0.563,997.500,390.500,947,370,101,41,1280,720
990,  car,0.618,1004.000,389.000,954,368,100,42,1280,720
991,  car,0.583,1004.500,391.000,950,369,109,44,1280,720
992,  car,0.684,1013.000,385.500,964,365,98,41,1280,720
993,  car,0.642,1010.000,389.000,954,367,112,44,1280,720
995,  car,0.779,1013.000,386.000,958,364,110,44,1280,720
998,  car,0.555,1021.000,385.500,965,361,112,49,1280,720
1001,  car,0.757,1028.500,388.500,972,363,113,51,1280,720
1002,  car,0.791,1035.500,389.000,975,363,121,52,1280,720
1003,  car,0.802,1037.000,390.500,977,365,120,51,1280,720
1004,  car,0.669,1047.000,391.000,978,364,138,54,1280,720
1005,  car,0.801,1042.500,391.500,983,364,119,55,1280,720
1006,  car,0.847,1046.500,393.000,986,365,121,56,1280,720
1007,  car,0.872,1051.500,391.000,991,363,121,56,1280,720
1008,  car,0.870,1058.000,393.000,994,364,128,58,1280,720
1009,  car,0.875,1058.500,392.000,995,363,127,58,1280,720
1010,  car,0.858,1063.500,389.500,1000,361,127,57,1280,720
1011,  car,0.882,1066.500,391.000,1002,362,129,58,1280,720
1012,  car,0.898,1068.500,392.500,1003,363,131,59,1280,720
1013,  car,0.889,1071.500,392.500,1007,363,129,59,1280,720
1014,  car,0.891,1075.500,392.500,1010,362,131,61,1280,720
1015,  car,0.885,1081.000,393.000,1016,363,130,60,1280,720
1016,  car,0.883,1086.000,393.500,1022,363,128,61,1280,720
1017,  car,0.880,1089.500,392.500,1023,362,133,61,1280,720
1018,  car,0.879,1092.500,394.000,1025,363,135,62,1280,720
1019,  car,0.862,1096.000,394.500,1028,363,136,63,1280,720
1020,  car,0.862,1096.000,394.500,1028,363,136,63,1280,720
1021,  car,0.872,1100.000,395.500,1030,364,140,63,1280,720
1022,  car,0.870,1104.000,395.500,1033,364,142,63,1280,720
1023,  car,0.870,1107.000,395.000,1036,363,142,64,1280,720
1024,  car,0.874,1112.500,395.000,1041,362,143,66,1280,720
1025,  car,0.876,1116.500,395.500,1044,362,145,67,1280,720
1026,  car,0.877,1122.500,396.000,1049,362,147,68,1280,720
1027,  car,0.887,1127.500,397.000,1051,363,153,68,1280,720
1028,  car,0.897,1130.500,397.000,1057,363,147,68,1280,720
1029,  car,0.899,1134.500,398.000,1060,364,149,68,1280,720
1030,  car,0.900,1140.000,398.000,1064,364,152,68,1280,720
1031,  car,0.900,1145.500,398.500,1068,364,155,69,1280,720
1032,  car,0.901,1151.500,399.000,1075,364,153,70,1280,720
1033,  car,0.900,1156.500,399.000,1079,364,155,70,1280,720
1034,  car,0.896,1161.000,398.000,1082,362,158,72,1280,720
1035,  car,0.896,1167.500,397.000,1089,361,157,72,1280,720
1036,  car,0.902,1172.500,396.000,1093,360,159,72,1280,720
1037,  car,0.905,1177.500,394.000,1097,357,161,74,1280,720
1038,  car,0.899,1183.500,391.500,1104,354,159,75,1280,720
1039,  car,0.903,1187.000,390.500,1106,352,162,77,1280,720
1040,  car,0.896,1193.000,388.500,1111,350,164,77,1280,720
1041,  car,0.892,1195.500,390.000,1113,352,165,76,1280,720
1042,  car,0.893,1199.000,390.500,1119,352,160,77,1280,720
1043,  car,0.896,1201.500,394.500,1124,355,155,79,1280,720
1044,  car,0.894,1204.000,395.500,1129,356,150,79,1280,720
1045,  car,0.887,1207.500,398.500,1136,359,143,79,1280,720
1046,  car,0.883,1209.000,401.000,1139,360,140,82,1280,720
1047,  car,0.881,1212.000,405.000,1145,364,134,82,1280,720
1048,  car,0.881,1216.000,406.500,1153,365,126,83,1280,720
1049,  car,0.880,1218.000,409.500,1157,368,122,83,1280,720
1050,  car,0.896,1221.500,411.000,1164,369,115,84,1280,720
1051,  car,0.880,1225.500,413.500,1172,371,107,85,1280,720
1052,  car,0.847,1227.500,414.000,1176,371,103,86,1280,720
1053,  car,0.844,1233.000,414.500,1186,371,94,87,1280,720
1054,  car,0.795,1235.000,414.000,1191,370,88,88,1280,720
1055,  car,0.688,1238.000,412.000,1197,366,82,92,1280,720
1056,  car,0.763,1240.000,407.000,1201,358,78,98,1280,720
1057,  car,0.698,1243.500,404.500,1209,354,69,101,1280,720
1058,  car,0.704,1246.500,403.000,1214,357,65,92,1280,720
1059,  car,0.625,1249.000,403.500,1219,358,60,91,1280,720
1060,  car,0.652,1253.000,406.000,1227,365,52,82,1280,720
1061,  car,0.546,1255.000,408.000,1231,369,48,78,1280,720
1063,  pedestrian,0.608,891.000,435.500,866,406,50,59,1280,720
1068,  pedestrian,0.714,917.000,437.500,891,406,52,63,1280,720
1068,  car,0.535,120.500,481.000,99,473,43,16,1280,720
1071,  pedestrian,0.578,928.000,438.000,898,403,60,70,1280,720
1072,  pedestrian,0.547,932.500,434.500,904,398,57,73,1280,720
1247,  car,0.515,762.500,379.500,728,369,69,21,1280,720
1275,  car,0.506,825.000,390.500,784,380,82,21,1280,720
1307,  car,0.565,891.000,377.000,867,369,48,16,1280,720
1307,  car,0.552,935.000,381.500,905,371,60,21,1280,720
