frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
351,  pedestrian,0.752,398.000,420.000,334,311,128,218,1280,720
352,  pedestrian,0.511,451.000,424.000,393,310,116,228,1280,720
356,  pedestrian,0.573,722.000,432.000,689,314,66,236,1280,720
357,  pedestrian,0.550,787.000,432.000,748,314,78,236,1280,720
358,  pedestrian,0.566,852.500,426.000,800,309,105,234,1280,720
359,  pedestrian,0.768,913.000,425.500,850,318,126,215,1280,720
360,  pedestrian,0.725,965.000,426.000,899,324,132,204,1280,720
361,  pedestrian,0.826,1011.500,430.000,952,336,119,188,1280,720
362,  pedestrian,0.731,1052.500,419.500,996,322,113,195,1280,720
363,  pedestrian,0.698,1089.500,416.500,1037,322,105,189,1280,720
364,  pedestrian,0.657,1130.000,414.000,1086,324,88,180,1280,720
365,  pedestrian,0.664,1164.000,410.500,1123,325,82,171,1280,720
366,  pedestrian,0.660,1196.500,408.500,1155,326,83,165,1280,720
367,  pedestrian,0.557,1224.500,407.000,1186,328,77,158,1280,720
368,  pedestrian,0.628,1246.500,403.500,1217,329,59,149,1280,720
369,  pedestrian,0.709,1255.000,400.500,1231,326,48,149,1280,720
426,  pedestrian,0.573,224.000,390.500,195,315,58,151,1280,720
427,  pedestrian,0.515,248.500,404.000,209,310,79,188,1280,720
439,  pedestrian,0.535,684.000,419.000,633,315,102,208,1280,720
440,  pedestrian,0.648,728.500,418.000,671,313,115,210,1280,720
448,  pedestrian,0.584,988.500,411.000,944,318,89,186,1280,720
449,  pedestrian,0.666,1018.500,410.000,980,319,77,182,1280,720
450,  pedestrian,0.615,1048.000,412.500,1011,324,74,177,1280,720
450,  pedestrian,0.546,51.000,394.000,26,336,50,116,1280,720
451,  pedestrian,0.635,1072.500,412.000,1033,325,79,174,1280,720
451,  pedestrian,0.529,59.000,373.000,38,333,42,80,1280,720
452,  pedestrian,0.719,1096.000,377.500,1068,325,56,105,1280,720
452,  pedestrian,0.637,72.000,383.500,50,344,44,79,1280,720
453,  pedestrian,0.652,86.000,377.500,64,340,44,75,1280,720
453,  pedestrian,0.596,1112.000,408.000,1073,322,78,172,1280,720
454,  pedestrian,0.757,98.000,377.000,78,339,40,76,1280,720
454,  pedestrian,0.644,1134.500,409.500,1097,329,75,161,1280,720
455,  pedestrian,0.684,116.500,373.000,93,334,47,78,1280,720
456,  pedestrian,0.735,130.500,374.000,106,335,49,78,1280,720
458,  pedestrian,0.536,165.500,396.000,140,337,51,118,1280,720
459,  pedestrian,0.621,192.000,406.500,163,333,58,147,1280,720
460,  pedestrian,0.589,211.000,411.500,178,338,66,147,1280,720
463,  pedestrian,0.663,289.000,407.500,249,321,80,173,1280,720
465,  pedestrian,0.714,351.000,409.500,300,320,102,179,1280,720
466,  pedestrian,0.613,383.000,410.000,331,319,104,182,1280,720
467,  pedestrian,0.665,416.500,412.000,363,320,107,184,1280,720
468,  pedestrian,0.679,455.000,415.000,401,323,108,184,1280,720
469,  pedestrian,0.708,486.500,437.500,438,367,97,141,1280,720
470,  pedestrian,0.693,523.500,417.500,479,324,89,187,1280,720
471,  pedestrian,0.635,562.000,416.000,518,319,88,194,1280,720
472,  pedestrian,0.785,598.500,417.500,554,321,89,193,1280,720
473,  pedestrian,0.775,648.500,419.500,599,324,99,191,1280,720
473,  pedestrian,0.626,123.000,402.000,81,325,84,154,1280,720
474,  pedestrian,0.790,692.500,416.000,635,318,115,196,1280,720
474,  pedestrian,0.537,159.000,408.500,131,339,56,139,1280,720
475,  pedestrian,0.649,168.000,407.000,124,331,88,152,1280,720
475,  pedestrian,0.584,719.500,377.500,687,315,65,125,1280,720
475,  pedestrian,0.513,735.000,414.000,678,315,114,198,1280,720
476,  pedestrian,0.722,191.500,410.000,145,334,93,152,1280,720
476,  pedestrian,0.632,763.500,376.500,735,318,57,117,1280,720
477,  pedestrian,0.660,218.500,413.000,169,334,99,158,1280,720
477,  pedestrian,0.556,817.000,414.000,765,317,104,194,1280,720
478,  pedestrian,0.727,247.000,419.000,200,343,94,152,1280,720
478,  pedestrian,0.533,853.000,416.000,803,323,100,186,1280,720
479,  pedestrian,0.692,263.000,417.000,201,330,124,174,1280,720
479,  pedestrian,0.595,885.000,414.000,834,321,102,186,1280,720
480,  pedestrian,0.741,289.000,418.500,223,328,132,181,1280,720
480,  pedestrian,0.683,913.000,412.000,867,320,92,184,1280,720
481,  pedestrian,0.750,318.500,416.000,250,321,137,190,1280,720
481,  pedestrian,0.594,953.000,411.500,913,319,80,185,1280,720
482,  pedestrian,0.527,353.000,418.500,284,320,138,197,1280,720
483,  pedestrian,0.663,391.500,417.500,330,317,123,201,1280,720
484,  pedestrian,0.619,1042.500,411.000,1005,326,75,170,1280,720
485,  pedestrian,0.660,1067.500,377.500,1039,326,57,103,1280,720
485,  pedestrian,0.619,1068.000,408.500,1029,322,78,173,1280,720
485,  pedestrian,0.534,463.000,419.500,402,315,122,209,1280,720
486,  pedestrian,0.667,1095.000,410.500,1061,328,68,165,1280,720
487,  pedestrian,0.619,1113.000,409.500,1079,330,68,159,1280,720
488,  pedestrian,0.626,1136.500,379.500,1113,343,47,73,1280,720
489,  pedestrian,0.525,1156.000,405.500,1123,330,66,151,1280,720
490,  pedestrian,0.534,669.000,413.500,609,312,120,203,1280,720
491,  pedestrian,0.544,1186.000,403.000,1151,334,70,138,1280,720
492,  pedestrian,0.731,768.500,423.000,690,320,157,206,1280,720
492,  pedestrian,0.565,429.000,340.500,384,271,90,139,1280,720
494,  pedestrian,0.529,855.500,420.000,779,312,153,216,1280,720
495,  bicycle,0.548,900.500,424.000,829,323,143,202,1280,720
496,  bicycle,0.557,935.000,427.500,865,335,140,185,1280,720
500,  bicycle,0.546,1066.000,410.000,1007,319,118,182,1280,720
501,  bicycle,0.713,1091.000,409.000,1036,321,110,176,1280,720
507,  pedestrian,0.529,1203.000,400.000,1149,327,108,146,1280,720
548,  bicycle,0.592,46.500,406.000,0,333,93,146,1280,720
549,  bicycle,0.501,40.500,409.000,0,330,81,158,1280,720
550,  bicycle,0.662,57.500,413.000,0,335,115,156,1280,720
551,  bicycle,0.552,84.500,405.000,0,308,169,194,1280,720
553,  bicycle,0.708,96.000,420.000,0,332,192,176,1280,720
554,  bicycle,0.720,111.000,418.000,0,321,222,194,1280,720
555,  bicycle,0.805,139.000,422.500,4,324,270,197,1280,720
555,  bicycle,0.598,209.000,448.500,140,375,138,147,1280,720
555,  bicycle,0.574,89.000,494.500,9,351,160,287,1280,720
556,  bicycle,0.855,161.000,426.500,2,325,318,203,1280,720
556,  bicycle,0.674,107.000,498.000,5,354,204,288,1280,720
557,  pedestrian,0.714,102.000,395.500,65,334,74,123,1280,720
557,  bicycle,0.689,73.000,523.500,3,405,140,237,1280,720
557,  bicycle,0.572,302.500,462.000,235,388,135,148,1280,720
558,  bicycle,0.775,321.500,442.000,219,340,205,204,1280,720
558,  pedestrian,0.737,119.000,394.500,82,328,74,133,1280,720
558,  bicycle,0.644,109.500,512.000,2,373,215,278,1280,720
559,  bicycle,0.787,390.000,463.500,279,377,222,173,1280,720
559,  pedestrian,0.777,140.000,392.500,98,322,84,141,1280,720
559,  bicycle,0.578,95.000,506.000,4,349,182,314,1280,720
560,  bicycle,0.790,448.500,475.500,335,395,227,161,1280,720
560,  pedestrian,0.730,152.500,396.500,113,327,79,139,1280,720
560,  bicycle,0.673,98.000,502.500,5,320,186,365,1280,720
561,  bicycle,0.801,531.000,471.500,439,382,184,179,1280,720
561,  pedestrian,0.787,169.500,398.000,132,328,75,140,1280,720
561,  bicycle,0.692,467.000,427.500,328,310,278,235,1280,720
561,  bicycle,0.561,98.500,496.000,10,317,177,358,1280,720
562,  bicycle,0.845,536.500,474.500,383,383,307,183,1280,720
562,  bicycle,0.796,95.000,499.500,8,326,174,347,1280,720
562,  pedestrian,0.783,190.000,400.500,152,330,76,141,1280,720
563,  bicycle,0.824,666.500,480.500,576,394,181,173,1280,720
563,  pedestrian,0.786,212.000,400.000,170,328,84,144,1280,720
563,  bicycle,0.678,104.000,501.000,14,320,180,362,1280,720
564,  bicycle,0.821,738.000,477.500,652,388,172,179,1280,720
564,  bicycle,0.756,108.500,521.500,13,328,191,387,1280,720
564,  pedestrian,0.749,234.500,401.500,193,324,83,155,1280,720
565,  bicycle,0.845,752.000,477.000,621,389,262,176,1280,720
565,  pedestrian,0.711,257.500,402.000,219,322,77,160,1280,720
565,  bicycle,0.661,119.000,523.500,17,331,204,385,1280,720
566,  bicycle,0.811,813.500,474.000,686,389,255,170,1280,720
566,  pedestrian,0.797,280.000,400.000,238,317,84,166,1280,720
567,  bicycle,0.861,871.500,472.000,752,391,239,162,1280,720
567,  pedestrian,0.800,309.000,405.000,264,325,90,160,1280,720
568,  bicycle,0.928,924.500,468.500,812,389,225,159,1280,720
568,  pedestrian,0.799,343.000,404.500,295,320,96,169,1280,720
568,  bicycle,0.672,150.500,519.500,16,321,269,397,1280,720
569,  bicycle,0.885,977.000,462.500,870,384,214,157,1280,720
569,  pedestrian,0.785,379.000,405.500,328,318,102,175,1280,720
569,  bicycle,0.575,161.500,526.500,18,336,287,381,1280,720
570,  bicycle,0.748,1014.000,432.500,914,331,200,203,1280,720
570,  pedestrian,0.742,416.000,406.500,362,318,108,177,1280,720
570,  bicycle,0.676,172.000,518.500,18,318,308,401,1280,720
571,  bicycle,0.843,1056.500,420.500,961,315,191,211,1280,720
571,  pedestrian,0.745,453.000,406.500,399,316,108,181,1280,720
571,  bicycle,0.638,175.500,530.500,17,342,317,377,1280,720
572,  bicycle,0.686,1089.000,428.000,997,335,184,186,1280,720
572,  pedestrian,0.660,490.500,411.500,440,324,101,175,1280,720
572,  bicycle,0.561,191.500,560.500,19,402,345,317,1280,720
572,  bicycle,0.546,1131.500,449.500,1077,380,109,139,1280,720
573,  bicycle,0.760,204.500,592.500,23,466,363,253,1280,720
573,  bicycle,0.760,1128.000,424.500,1040,333,176,183,1280,720
573,  pedestrian,0.554,531.000,407.000,484,314,94,186,1280,720
574,  bicycle,0.767,1158.000,423.500,1076,337,164,173,1280,720
