frame-number,detected-left,detected-right,left-status,right-status
1100,0,0,safe,safe
1101,0,0,safe,safe
1102,0,0,safe,safe
1103,0,0,safe,safe
1104,0,0,safe,safe
1105,0,0,safe,safe
1106,0,0,safe,safe
1107,0,0,safe,safe
1108,0,0,safe,safe
1109,0,0,safe,safe
1110,0,0,safe,safe
1111,0,0,safe,safe
1112,0,0,safe,safe
1113,0,0,safe,safe
1114,0,0,safe,safe
1115,0,0,safe,safe
1116,0,0,safe,safe
1117,0,0,safe,safe
1118,0,0,safe,safe
1119,0,0,safe,safe
1120,0,0,safe,safe
1121,0,0,safe,safe
1122,0,0,safe,safe
1123,0,0,safe,safe
1124,0,1,safe,safe
1125,0,0,safe,safe
1126,0,0,safe,safe
1127,0,1,safe,warning
1128,0,0,safe,safe
1129,0,0,safe,safe
1130,0,0,safe,safe
1131,0,0,safe,safe
1132,0,0,safe,safe
1133,0,0,safe,safe
1134,0,0,safe,safe
1135,0,0,safe,safe
1136,0,0,safe,safe
1137,0,0,safe,safe
1138,0,0,safe,safe
1139,0,0,safe,safe
1140,0,0,safe,safe
1141,0,0,safe,safe
1142,0,0,safe,safe
1143,0,0,safe,safe
